emotion,text,facial_features
happy,"I am feeling great today!","smile_intensity:0.8,eye_crinkle:0.7,mouth_curve:0.9"
sad,"This is a difficult time for me","frown_depth:0.6,eye_droop:0.5,mouth_downturn:0.7"
angry,"I can't believe this happened!","eyebrow_furrow:0.9,jaw_clench:0.8,nostril_flare:0.6"
surprised,"Wow, I didn't expect that!","eyebrow_raise:0.8,eye_widen:0.9,mouth_open:0.7"
fear,"I'm really worried about this","eye_widen:0.6,mouth_slight_open:0.4,tension:0.8"
disgust,"That's absolutely revolting","nose_wrinkle:0.8,upper_lip_raise:0.7,eye_squint:0.5"
neutral,"Just another ordinary day","relaxed_features:0.9,neutral_mouth:0.8,calm_eyes:0.7"
happy,"Celebrating a wonderful achievement!","smile_intensity:0.9,eye_crinkle:0.8,cheek_raise:0.7"
sad,"Feeling down after the news","frown_depth:0.7,eye_droop:0.6,lip_compress:0.5"
angry,"This situation is infuriating!","eyebrow_furrow:0.8,jaw_clench:0.9,eye_narrow:0.7"
surprised,"I never saw that coming!","eyebrow_raise:0.9,eye_widen:0.8,mouth_open:0.8"
fear,"Something doesn't feel right","eye_widen:0.7,tension:0.9,mouth_tight:0.6"
disgust,"I find this completely unacceptable","nose_wrinkle:0.9,upper_lip_raise:0.8,head_turn:0.5"
neutral,"Working through my daily routine","relaxed_features:0.8,neutral_expression:0.9,steady_gaze:0.7"
happy,"Life is beautiful right now","smile_intensity:0.7,eye_sparkle:0.8,overall_glow:0.9"
sad,"Struggling with recent changes","frown_depth:0.5,eye_moisture:0.6,slumped_posture:0.7"
